"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,          76,      -4.610060672,      -4.109427537,       -4.17624991,      -10.46906183
          0,           0,          77,      -4.606922701,      -4.102300465,      -4.168396398,      -10.45543304
          0,           0,          78,      -4.603656623,      -4.095258377,      -4.160792336,       -10.4420569
          0,           0,          79,      -4.600260489,      -4.088312091,      -4.153453992,      -10.42899592
          0,           0,          80,      -4.596738459,      -4.081471616,      -4.146393629,      -10.41617895
          0,           0,          81,      -4.593099515,      -4.074746375,      -4.139620048,      -10.40367239
          0,           0,          82,      -4.589355785,       -4.06814607,      -4.133140524,      -10.39140475
          0,           0,          83,         -4.585523,      -4.061680184,      -4.126959935,       -10.3794089
          0,           0,          84,      -4.581618576,      -4.055358862,      -4.121083551,      -10.36768168
          0,           0,          85,      -4.577663764,      -4.049191218,      -4.115513952,      -10.35618834
          0,           0,          86,      -4.573680283,      -4.043186636,      -4.110255682,      -10.34493764
          0,           0,          87,      -4.569692609,      -4.037352605,      -4.105311456,      -10.33394093
          0,           0,          88,      -4.565726258,      -4.031694714,      -4.100684101,      -10.32316699
          0,           0,          89,       -4.56180975,      -4.026214106,      -4.096372791,       -10.3126658
          0,           0,          90,      -4.557969437,      -4.020908357,      -4.092377412,      -10.30230863
          0,           0,          91,      -4.554230908,      -4.015769283,      -4.088693817,      -10.29228085
          0,           0,          92,      -4.550615764,      -4.010783272,      -4.085314698,      -10.28237652
          0,           0,          93,      -4.547144886,      -4.005928743,      -4.082223311,      -10.27273871
          0,           0,          94,      -4.543831876,      -4.001178401,      -4.079397306,      -10.26332959
          0,           0,          95,      -4.540680842,      -3.996501189,      -4.076807552,      -10.25410197
          0,           0,          96,      -4.537691727,      -3.991862294,      -4.074412782,      -10.24519525
          0,           0,          97,      -4.534858347,      -3.987226432,      -4.072162483,      -10.23643424
          0,           0,          98,      -4.532168365,      -3.982561469,       -4.06999927,      -10.22795031
          0,           0,          99,      -4.529603914,      -3.977842829,      -4.067862913,      -10.21971192
          0,           0,         100,      -4.527145691,       -3.97305609,      -4.065693773,      -10.21164396
          0,           0,         101,      -4.524779711,      -3.968197089,      -4.063435112,      -10.20387942
          0,           0,         102,      -4.522491227,      -3.963276637,      -4.061045646,      -10.19637766
          0,           0,         103,      -4.520265987,      -3.958320382,      -4.058505985,      -10.18904444
          0,           0,         104,      -4.518104377,      -3.953360307,      -4.055809553,      -10.18205714
          0,           0,         105,      -4.516006696,      -3.948438637,      -4.052977975,      -10.17525714
          0,           0,         106,      -4.513974778,      -3.943601418,      -4.050058163,      -10.16864201
          0,           0,         107,      -4.512016293,      -3.938891449,      -4.047111009,      -10.16241796
          0,           0,         108,       -4.51013884,      -3.934346056,      -4.044209509,      -10.15640404
          0,           0,         109,      -4.508346011,      -3.929993961,      -4.041436142,      -10.15059763
          0,           0,         110,      -4.506639603,      -3.925850672,      -4.038869944,      -10.14520013
          0,           0,         111,      -4.505018383,      -3.921917509,      -4.036577908,       -10.1400601
          0,           0,         112,      -4.503475797,      -3.918182396,      -4.034615746,      -10.13514429
          0,           0,         113,      -4.502002744,      -3.914619479,      -4.033019567,      -10.13072646
          0,           0,         114,      -4.500589088,      -3.911191238,      -4.031797647,      -10.12656985
          0,           0,         115,      -4.499221515,      -3.907853156,      -4.030938326,      -10.12262791
          0,           0,         116,      -4.497885408,      -3.904556856,      -4.030407476,      -10.11910963
          0,           0,         117,      -4.496568686,      -3.901253911,      -4.030143971,      -10.11593524
          0,           0,         118,      -4.495260349,      -3.897901275,      -4.030067164,      -10.11306881
          0,           0,         119,      -4.493949045,      -3.894465772,       -4.03008291,      -10.11057422
          0,           0,         120,      -4.492624963,      -3.890927345,      -4.030087025,      -10.10839623
          0,           0,         121,      -4.491285046,      -3.887279402,      -4.029967597,        -10.106537
          0,           0,         122,      -4.489925417,      -3.883533038,      -4.029620484,      -10.10492684
          0,           0,         123,      -4.488542979,      -3.879715062,      -4.028955717,      -10.10355311
          0,           0,         124,      -4.487140185,      -3.875864353,      -4.027901216,      -10.10253664
