"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          64,      -3.729438045,      -1.330401502,      -1.352537458,       1.732187715,      -8.205396111
          0,           0,          65,      -3.725584523,      -1.323791947,      -1.346405277,       1.736001265,      -8.202492524
          0,           0,          66,      -3.721962928,      -1.317033735,      -1.339968095,       1.739597606,      -8.199634394
          0,           0,          67,      -3.718261821,      -1.310449273,       -1.33316221,       1.743274742,      -8.196735981
          0,           0,          68,      -3.714718833,      -1.304030806,      -1.326092576,       1.746810824,      -8.193764155
          0,           0,          69,      -3.711224951,      -1.297751471,      -1.318708575,       1.750316058,      -8.190681251
          0,           0,          70,      -3.707587874,      -1.291889088,      -1.311153086,       1.753967102,      -8.187546578
          0,           0,          71,      -3.704079276,      -1.286292052,      -1.303426316,       1.757510327,      -8.184295568
          0,           0,          72,      -3.700418589,      -1.280914575,      -1.295616571,       1.761212688,      -8.180925149
          0,           0,          73,      -3.696666958,      -1.276087404,      -1.287862381,       1.765016045,      -8.177411278
          0,           0,          74,      -3.692962778,      -1.271422594,       -1.28018225,       1.768786458,      -8.173776944
          0,           0,          75,      -3.688893016,      -1.267148106,      -1.272703033,       1.772919634,      -8.169976035
          0,           0,          76,      -3.684856772,      -1.263229004,      -1.265454155,       1.777033301,      -8.166041841
          0,           0,          77,      -3.680630203,      -1.259394715,      -1.258476418,       1.781348173,      -8.161916719
          0,           0,          78,      -3.676058171,      -1.256023153,      -1.251839647,       1.786006469,       -8.15761602
          0,           0,          79,      -3.671549446,      -1.252684324,      -1.245519931,        1.79062116,      -8.153176484
          0,           0,          80,      -3.666556586,      -1.249475688,      -1.239473268,       1.795722405,      -8.148547447
          0,           0,          81,      -3.661553604,       -1.24640437,      -1.233764913,       1.800851338,      -8.143807345
          0,           0,          82,      -3.656388098,      -1.243206781,      -1.228199032,       1.806162621,      -8.138936745
          0,           0,          83,      -3.650871689,      -1.239987922,      -1.222901149,       1.811829105,      -8.133960148
          0,           0,          84,      -3.645474856,      -1.236594485,      -1.217649108,        1.81740331,      -8.128905227
          0,           0,          85,      -3.639816217,      -1.232951801,      -1.212444033,       1.823254744,       -8.12375626
          0,           0,          86,      -3.634132962,       -1.22909266,      -1.207253091,       1.829140502,       -8.11862263
          0,           0,          87,      -3.628473135,      -1.224899144,      -1.201882377,       1.835022152,      -8.113486929
          0,           0,          88,      -3.622750754,      -1.220384612,      -1.196501142,       1.840972098,      -8.108402316
          0,           0,          89,      -3.617126287,      -1.215584715,      -1.190828574,        1.84682831,      -8.103405976
          0,           0,          90,      -3.611641191,      -1.210558734,      -1.185072645,         1.8525525,      -8.098501599
          0,           0,          91,      -3.606161502,      -1.205271373,      -1.179049122,       1.858260326,      -8.093743209
          0,           0,          92,      -3.600920748,      -1.199925488,      -1.172877143,       1.863726144,      -8.089107688
          0,           0,          93,       -3.59582783,      -1.194513014,      -1.166503782,       1.869039878,      -8.084616779
          0,           0,          94,      -3.590817392,      -1.189084264,      -1.159997091,       1.874248792,      -8.080337639
          0,           0,          95,      -3.586080363,      -1.183828644,       -1.15337478,       1.879182184,      -8.076166873
          0,           0,          96,      -3.581442047,      -1.178684374,      -1.146688689,       1.884002896,      -8.072138671
          0,           0,          97,      -3.576935468,      -1.173753636,      -1.139983317,        1.88867431,      -8.068238765
          0,           0,          98,      -3.572583632,      -1.169123288,       -1.13326228,       1.893192362,      -8.064436418
          0,           0,          99,      -3.568336365,      -1.164748649,      -1.126607732,        1.89759479,       -8.06075656
          0,           0,         100,      -3.564083107,      -1.160692765,      -1.120000166,       1.901999601,      -8.057068995
          0,           0,         101,      -3.559980541,      -1.157012274,      -1.113521754,        1.90625788,      -8.053414144
          0,           0,         102,       -3.55579807,       -1.15362085,      -1.107145906,       1.910597701,      -8.049728225
          0,           0,         103,      -3.551651718,      -1.150623418,      -1.100936118,       1.914904037,      -8.046000877
          0,           0,         104,      -3.547470183,       -1.14800417,       -1.09487279,       1.919258479,      -8.042275958
          0,           0,         105,      -3.543247496,      -1.145711897,      -1.088990794,       1.923659603,      -8.038450869
          0,           0,         106,      -3.538970045,      -1.143809189,      -1.083281278,       1.928123754,      -8.034574203
          0,           0,         107,      -3.534657224,      -1.142264177,      -1.077754075,       1.932636974,      -8.030697206
          0,           0,         108,      -3.530332288,      -1.141028873,      -1.072417371,       1.937167615,      -8.026775166
