"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          76,      -13.42276957,      -10.36913597,      -10.58332338,      -7.945661575
          0,           0,          77,      -13.52356904,      -10.45293703,      -10.62468205,      -8.048475512
          0,           0,          78,      -13.63236292,      -10.53453758,      -10.68165773,      -8.159587682
          0,           0,          79,      -13.62604623,      -10.65563986,       -10.8192335,      -8.157504448
          0,           0,          80,      -13.73248621,      -10.69207126,      -10.88071243,      -8.263597466
          0,           0,          81,      -13.78663246,      -10.77499972,      -10.98935684,      -8.316914319
          0,           0,          82,      -13.84259059,      -10.81224424,      -11.02563256,      -8.372990557
          0,           0,          83,      -13.93227118,      -10.90116583,      -11.11178627,      -8.459024154
          0,           0,          84,      -13.98214322,      -10.95790944,      -11.12928114,      -8.509316818
          0,           0,          85,      -14.09160601,      -11.02047599,      -11.15622292,      -8.614694778
          0,           0,          86,      -14.13279697,        -11.123918,      -11.27333407,      -8.657872247
          0,           0,          87,      -14.24409453,      -11.16422693,      -11.32097865,      -8.764661231
          0,           0,          88,      -14.30458613,      -11.20792314,      -11.38019612,      -8.826428014
          0,           0,          89,      -14.33509499,      -11.32152871,      -11.51792316,       -8.86171233
          0,           0,          90,      -14.44895823,      -11.37503082,      -11.57552476,      -8.972904325
          0,           0,          91,      -14.54601604,      -11.44119786,       -11.6255451,      -9.066555726
          0,           0,          92,       -14.6012541,      -11.57644546,      -11.76835757,      -9.126473151
          0,           0,          93,      -14.72360624,      -11.64054697,      -11.81378035,      -9.244578207
          0,           0,          94,      -14.80332897,      -11.69105846,      -11.86255896,      -9.323331042
          0,           0,          95,      -14.83104276,      -11.78719783,      -11.99720305,      -9.354428217
          0,           0,          96,      -14.90593221,      -11.80773993,       -12.0409224,      -9.427862265
          0,           0,          97,      -14.95867394,      -11.83972967,      -12.08720157,      -9.479792832
          0,           0,          98,      -15.02875869,      -11.95448068,      -12.22408556,      -9.552731388
