"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,      "Avg_c"     ,       "CD"       ,       "CL"       
          0,           0,          44,      -1.299269377,      0.8704621928,       1.560354899,       4.148088463,       2.435285331,       3.603898293,       340.2970288,                 0,                 0
          0,           0,          45,      -1.029800149,       1.135228285,       1.797586156,       4.491237377,       2.428475542,       3.483377459,       340.2970288,                 0,                 0
          0,           0,          46,       -1.27100428,       1.082379383,       1.618491938,       4.183955393,       2.524969861,       3.701457901,       340.2970288,                 0,                 0
          0,           0,          47,     -0.9890528035,       1.158464372,       1.858892611,       4.522521623,       2.411650741,       3.537058858,       340.2970288,                 0,                 0
          0,           0,          48,      -1.213026628,       1.187681381,       1.687912976,       4.205895609,       2.830770657,       3.870874174,       340.2970288,                 0,                 0
          0,           0,          49,     -0.8936181867,       1.417076189,       1.965696454,       4.611518897,        2.42889572,       3.616855526,       340.2970288,                 0,                 0
          0,           0,          50,      -1.002044068,       1.263322404,       1.497112153,       4.491408636,       2.526561035,        3.60370989,       340.2970288,                 0,                 0
          0,           0,          51,      -1.268544752,      0.9710897977,       1.307730818,       4.246947944,       2.717390524,       3.829233955,       340.2970288,                 0,                 0
          0,           0,          52,      -1.251141076,        1.12672241,        1.53426418,       4.212945835,       2.559201511,       3.678984415,       340.2970288,                 0,                 0
          0,           0,          53,      -1.323072234,      0.7250217731,       1.496744744,       4.116806789,       2.504786362,       3.618617966,       340.2970288,                 0,                 0
          0,           0,          54,      -1.118447501,      0.9870981058,       1.598742299,       4.335261088,       2.461615399,       3.557564159,       340.2970288,                 0,                 0
          0,           0,          55,      -1.356810705,         0.7464437,       1.584212959,        4.09389273,       2.630849219,       3.680665375,       340.2970288,                 0,                 0
          0,           0,          56,      -0.965467486,       1.169792526,       1.837687066,       4.494694742,       2.580976416,       3.650026094,       340.2970288,                 0,                 0
          0,           0,          57,      -1.287140227,       1.107698893,       1.709959529,       4.210946739,       3.019257855,       3.972899214,       340.2970288,                 0,                 0
          0,           0,          58,     -0.7850667572,       1.296961658,       2.046589483,        4.65646095,       2.611958212,        3.64115316,       340.2970288,                 0,                 0
          0,           0,          59,      -1.081519633,       1.543048558,       1.436802868,       4.422358237,       3.034182021,       4.026925913,       340.2970288,                 0,                 0
          0,           0,          60,      -1.137871477,       1.152782743,       1.862249693,       4.283225439,       2.943486279,       3.976782198,       340.2970288,                 0,                 0
          0,           0,          61,      -1.126980788,       1.248781392,        1.57040659,       4.286043497,       2.623781749,       3.636952598,       340.2970288,                 0,                 0
          0,           0,          62,      -1.275942631,        1.05673119,       1.824192041,       4.128473067,       2.769578302,       3.772515931,       340.2970288,                 0,                 0
          0,           0,          63,     -0.9968274004,       1.282650641,       1.699038725,       4.445258074,       2.649670887,       3.669781674,       340.2970288,                 0,                 0
          0,           0,          64,      -1.136361386,      0.8078439341,       1.916051426,       4.245935795,       2.615066089,       3.539631899,       340.2970288,                 0,                 0
          0,           0,          65,      -1.051118738,       1.243071933,       1.650058791,       4.369144419,        2.70269681,       3.717330144,       340.2970288,                 0,                 0
          0,           0,          66,     -0.9690911897,       1.058393709,       2.018243047,       4.352565534,       2.601145139,       3.550161115,       340.2970288,                 0,                 0
          0,           0,          67,      -1.140610239,       1.055491055,       1.473850318,       4.256785778,       2.579484855,       3.522969795,       340.2970288,                 0,                 0
          0,           0,          68,      -1.029371536,      0.9891498215,       1.944996389,       4.328268178,       2.425566389,       3.504982582,       340.2970288,                 0,                 0
          0,           0,          69,      -0.951622005,        1.34529621,       1.621201243,       4.448955046,       2.402603614,        3.34760952,       340.2970288,                 0,                 0
          0,           0,          70,      -1.095643542,       1.196443634,       1.756082378,       4.251760293,        2.35120988,       3.302945118,       340.2970288,                 0,                 0
          0,           0,          71,       -1.13056304,       1.016484951,        1.58964313,       4.289037818,        2.36539039,       3.270220425,       340.2970288,                 0,                 0
          0,           0,          72,       -1.22295384,       1.075230549,        1.81771156,       4.131799616,       2.269555362,       3.284879295,       340.2970288,                 0,                 0
          0,           0,          73,      -1.169865008,       1.158875976,        1.47518643,       4.252231464,       2.250536975,       3.207536822,       340.2970288,                 0,                 0
          0,           0,          74,      -1.154019035,      0.8963027938,       1.784156486,       4.176551057,       1.966313359,       3.069559019,       340.2970288,                 0,                 0
          0,           0,          75,      -1.301125133,      0.9380323008,       1.171592136,       4.109171508,       2.022501689,       2.903250077,       340.2970288,                 0,                 0
          0,           0,          76,      -1.503670829,      0.4955641999,       1.274145693,       3.901006594,       2.129457409,       3.293394705,       340.2970288,                 0,                 0
          0,           0,          77,      -1.255543653,      0.5856307842,       1.559820831,       4.178092174,         2.1820686,        3.22476508,       340.2970288,                 0,                 0
          0,           0,          78,      -1.262841032,      0.6364113273,       1.581001174,       4.197762513,         2.2931562,       3.421291248,       340.2970288,                 0,                 0
          0,           0,          79,      -1.286573244,      0.6407241077,       1.548825376,       4.184407348,         2.0333329,       3.194595971,       340.2970288,                 0,                 0
          0,           0,          80,      -1.439074695,      0.6801349285,       1.613130739,       3.949790384,       2.083373593,       3.197694979,       340.2970288,                 0,                 0
          0,           0,          81,      -1.352634475,       1.059414969,       1.419237336,       4.150864258,        2.19774563,       3.397643864,       340.2970288,                 0,                 0
          0,           0,          82,      -1.237520246,      0.9249495316,       1.710701122,       4.080233903,       2.110110144,       3.159000179,       340.2970288,                 0,                 0
          0,           0,          83,      -1.334355896,      0.9791790878,       1.403822759,       4.152703481,       2.244741996,       3.377653914,       340.2970288,                 0,                 0
          0,           0,          84,      -1.151369738,      0.8286698198,       1.753492878,       4.200428144,       2.167822878,       3.141991531,       340.2970288,                 0,                 0
          0,           0,          85,      -1.133435727,       1.068681381,       1.565808819,       4.281876734,       2.281596537,       3.190967423,       340.2970288,                 0,                 0
          0,           0,          86,      -1.268455467,      0.9294875136,       1.603840843,       4.118378126,        2.29326855,       3.156956266,       340.2970288,                 0,                 0
          0,           0,          87,      -1.160356611,       1.050194947,       1.607876445,       4.273861206,       2.289809762,       3.248700956,       340.2970288,                 0,                 0
          0,           0,          88,      -1.326981538,      0.9736829046,       1.717151787,       4.039919529,        2.31575137,       3.235294954,       340.2970288,                 0,                 0
          0,           0,          89,      -1.203478044,      0.9455466346,       1.574007403,        4.22620349,         2.2314921,       3.238510997,       340.2970288,                 0,                 0
          0,           0,          90,      -1.302429792,      0.7683976438,        1.73145069,       4.104041975,       2.252911053,       3.273358776,       340.2970288,                 0,                 0
          0,           0,          91,      -1.073155651,       1.147084868,       1.560532194,       4.390332473,       2.091614592,       3.251789429,       340.2970288,                 0,                 0
          0,           0,          92,      -1.377819668,      0.7816783038,       1.751388651,       3.925391007,       2.107718538,       3.228431907,       340.2970288,                 0,                 0
          0,           0,          93,      -1.128581655,       1.293728224,       1.480951033,       4.271961635,       2.207300019,       3.258812033,       340.2970288,                 0,                 0
          0,           0,          94,       -1.18098521,      0.8825348506,        1.80278585,       4.074149576,       2.030591637,       2.975412206,       340.2970288,                 0,                 0
          0,           0,          95,      -1.201679085,       1.281061603,       1.349200422,       4.176609736,       2.090567734,       3.075707512,       340.2970288,                 0,                 0
          0,           0,          96,      -1.429716575,       1.106747122,       1.353339155,       4.027223458,        2.30756916,       3.095617068,       340.2970288,                 0,                 0
          0,           0,          97,      -1.118531586,       1.141922668,       1.662126917,       4.300207106,       2.221860883,       3.169363308,       340.2970288,                 0,                 0
          0,           0,          98,      -1.083713367,       1.458784825,       1.529742431,       4.292536568,       2.361988965,       3.125802083,       340.2970288,                 0,                 0
          0,           0,          99,      -1.224624319,       1.191816221,       1.673563026,        4.20144852,       2.364625879,       3.205327896,       340.2970288,                 0,                 0
          0,           0,         100,      -1.030570662,       1.486169898,       1.654404794,       4.364647046,       2.535492269,       3.301125299,       340.2970288,                 0,                 0
          0,           0,         101,      -1.148590052,       1.098894702,       1.700548705,       4.266101584,       2.516262677,       3.360769552,       340.2970288,                 0,                 0
          0,           0,         102,      -1.333326224,       1.255504343,       1.347825952,       4.146814146,       2.546942638,       3.243654177,       340.2970288,                 0,                 0
          0,           0,         103,      -1.098807593,       1.094907362,       1.588997586,       4.294988526,       2.546876642,       3.548530634,       340.2970288,                 0,                 0
          0,           0,         104,      -1.046237577,      0.8956546015,       1.583350427,       4.399246108,       2.316194321,       3.111972169,       340.2970288,                 0,                 0
          0,           0,         105,      -1.185591781,       1.012184446,       1.746359012,       4.190276461,       2.420020329,       3.488420308,       340.2970288,                 0,                 0
          0,           0,         106,      -1.110377128,      0.8607222023,       1.421022799,       4.327282534,       2.031892013,       3.040846736,       340.2970288,                 0,                 0
          0,           0,         107,       -1.50189341,      0.9068741645,       1.401000235,       3.913083502,       2.465170128,       3.621525131,       340.2970288,                 0,                 0
          0,           0,         108,     -0.9730457495,      0.8989806653,       1.604855891,       4.455220798,       2.061396521,       3.398435005,       340.2970288,                 0,                 0
          0,           0,         109,      -1.128245017,       1.007480414,       1.677304514,        4.31220555,       2.475145337,       3.619796118,       340.2970288,                 0,                 0
          0,           0,         110,      -0.981508637,       0.867852209,        1.61774811,       4.444975636,       2.130392822,       3.463811226,       340.2970288,                 0,                 0
          0,           0,         111,      -1.088058432,      0.9999878361,       1.711974817,       4.349666968,       2.507566462,       3.646818206,       340.2970288,                 0,                 0
          0,           0,         112,     -0.9567151346,      0.8717991145,       1.671409398,       4.469823348,       2.267157332,       3.573923529,       340.2970288,                 0,                 0
          0,           0,         113,      -1.001943857,       1.028320945,       1.791364753,        4.43088172,       2.563989446,       3.704149076,       340.2970288,                 0,                 0
          0,           0,         114,     -0.8987423258,      0.9175869621,       1.758813244,       4.528573757,       2.443655927,       3.715282066,       340.2970288,                 0,                 0
          0,           0,         115,     -0.8785065344,       1.094629758,        1.91104672,       4.546893268,       2.642977159,       3.788386572,       340.2970288,                 0,                 0
          0,           0,         116,     -0.8096848761,        1.00473808,       1.872396513,       4.617890901,       2.640215544,       3.877697723,       340.2970288,                 0,                 0
          0,           0,         117,     -0.7259387582,       1.198715966,       2.066008614,       4.688078854,       2.735032909,       3.886777712,       340.2970288,                 0,                 0
          0,           0,         118,     -0.6984482753,       1.119733051,       1.999767124,        4.72658972,        2.83827238,       4.047053338,       340.2970288,                 0,                 0
          0,           0,         119,     -0.5541695717,       1.333845897,       2.247333112,       4.841438857,       2.814556213,       3.971865415,       340.2970288,                 0,                 0
          0,           0,         120,     -0.5844835391,       1.238831488,       2.119614223,       4.831022254,       2.678106276,       3.880288038,       340.2970288,                 0,                 0
          0,           0,         121,     -0.7134482533,       1.178200113,       2.103654535,       4.646579027,       2.770767885,       3.922220623,       340.2970288,                 0,                 0
          0,           0,         122,     -0.6397540691,       1.182973668,        2.06290512,       4.771552127,       2.750738819,       3.939157475,       340.2970288,                 0,                 0
          0,           0,         123,     -0.6491413452,       1.224644132,       2.176130464,       4.697399116,       2.757381304,        3.90819165,       340.2970288,                 0,                 0
          0,           0,         124,     -0.6514388377,       1.172403921,       2.049360631,       4.755829198,       2.752833602,        3.92999607,       340.2970288,                 0,                 0
          0,           0,         125,     -0.6455001816,       1.218924771,       2.189373319,       4.684877886,       2.711465019,       3.862824834,       340.2970288,                 0,                 0
          0,           0,         126,     -0.6952909394,       1.130371531,       1.998349724,       4.711731738,       2.791270266,       3.957385215,       340.2970288,                 0,                 0
          0,           0,         127,     -0.5958821555,       1.257880525,       2.244692475,       4.727953949,        2.63880228,       3.795594024,       340.2970288,                 0,                 0
          0,           0,         128,     -0.7603518986,       1.068809143,       1.918126473,        4.65055676,       2.720942687,       3.877523963,       340.2970288,                 0,                 0
          0,           0,         129,     -0.6323916959,       1.217478726,       2.214066477,       4.684245678,       2.626574731,       3.788456682,       340.2970288,                 0,                 0
          0,           0,         130,     -0.7524590466,       1.074969247,       1.920840097,       4.657537431,        2.70059182,       3.852215024,       340.2970288,                 0,                 0
          0,           0,         131,     -0.6312647092,       1.213586499,       2.217150268,       4.683881136,       2.605250537,       3.772912656,       340.2970288,                 0,                 0
          0,           0,         132,     -0.7604795549,       1.065621514,       1.903673916,       4.650362339,       2.650092424,       3.798403483,       340.2970288,                 0,                 0
          0,           0,         133,     -0.6566717872,       1.185100438,       2.193557343,       4.656360247,        2.60808377,        3.77979659,       340.2970288,                 0,                 0
          0,           0,         134,     -0.7435913527,       1.079285144,       1.916717389,       4.666021187,       2.649570184,       3.799046405,       340.2970288,                 0,                 0
          0,           0,         135,     -0.6430087353,       1.195033191,        2.19967473,       4.672535855,       2.602778044,       3.779504235,       340.2970288,                 0,                 0
          0,           0,         136,     -0.7389537686,       1.081623399,       1.914519786,       4.670439032,       2.626387052,       3.777219817,       340.2970288,                 0,                 0
          0,           0,         137,     -0.6490976221,       1.186137408,       2.189092797,       4.666557079,       2.605874595,       3.786547862,       340.2970288,                 0,                 0
          0,           0,         138,     -0.7258341191,       1.092011287,       1.922848516,       4.682628011,       2.622647579,       3.777018027,       340.2970288,                 0,                 0
          0,           0,         139,      -0.641124368,       1.191952959,       2.180772619,       4.676384389,       2.617010448,       3.802060708,       340.2970288,                 0,                 0
          0,           0,         140,     -0.7031408369,       1.112304886,       1.942115214,       4.703161957,       2.638788964,       3.798099657,       340.2970288,                 0,                 0
          0,           0,         141,     -0.6178391167,       1.213923388,       2.168169773,       4.701516792,       2.645346255,       3.836011627,       340.2970288,                 0,                 0
          0,           0,         142,     -0.6556686983,       1.158456242,       1.988107671,       4.745066837,       2.670578399,       3.835618565,       340.2970288,                 0,                 0
          0,           0,         143,     -0.5851295652,       1.245651503,       2.144940228,       4.730670769,       2.536537088,        3.74475247,       340.2970288,                 0,                 0
          0,           0,         144,     -0.7726993744,        1.04752879,       1.826476569,       4.636969525,       2.416271802,       3.570635951,       340.2970288,                 0,                 0
          0,           0,         145,     -0.7840509019,       1.040659885,       2.075620646,       4.506315326,       2.596877378,       3.792194302,       340.2970288,                 0,                 0
          0,           0,         146,      -0.710405627,       1.101055937,       1.902130327,       4.696130571,       2.545511246,       3.719430756,       340.2970288,                 0,                 0
          0,           0,         147,     -0.6839171113,       1.137426005,       2.158190933,       4.629092985,       2.592985417,       3.789592681,       340.2970288,                 0,                 0
          0,           0,         148,     -0.7229328429,        1.08437342,       1.883296375,       4.686389269,       2.507502241,       3.685491883,       340.2970288,                 0,                 0
          0,           0,         149,     -0.7137966581,       1.106733517,       2.128906143,       4.601914867,       2.625068451,        3.82012415,       340.2970288,                 0,                 0
          0,           0,         150,     -0.6900487301,        1.11199212,       1.923902083,       4.718437678,       2.577321114,       3.763359924,       340.2970288,                 0,                 0
          0,           0,         151,     -0.6593379501,       1.158206477,       2.174719884,       4.665007619,       2.623814116,       3.818993318,       340.2970288,                 0,                 0
          0,           0,         152,     -0.6964934153,        1.10142671,       1.915915026,       4.713344897,       2.561521659,       3.750026419,       340.2970288,                 0,                 0
          0,           0,         153,     -0.6709650575,       1.144512799,       2.162583755,       4.653774763,       2.640247818,       3.834293678,       340.2970288,                 0,                 0
          0,           0,         154,     -0.6802498143,        1.11316347,       1.937092816,        4.72929693,       2.598061361,       3.789802631,       340.2970288,                 0,                 0
          0,           0,         155,     -0.6415713161,       1.170632417,       2.187677618,       4.686122076,       2.639156835,       3.832829923,       340.2970288,                 0,                 0
          0,           0,         156,      -0.684070563,         1.1051307,       1.933806953,       4.726129231,       2.591494445,       3.784184623,       340.2970288,                 0,                 0
          0,           0,         157,     -0.6451625546,       1.164193027,       2.183477437,        4.68181008,       2.646539546,       3.839298356,       340.2970288,                 0,                 0
          0,           0,         158,     -0.6766103959,       1.108234974,       1.944789369,       4.733430235,       2.610135457,       3.803826987,       340.2970288,                 0,                 0
          0,           0,         159,     -0.6289013847,       1.176956025,       2.197554728,       4.698644121,       2.644603929,       3.836862393,       340.2970288,                 0,                 0
          0,           0,         160,     -0.6794837526,       1.101082593,       1.943216432,       4.730872172,       2.606508405,       3.800175902,       340.2970288,                 0,                 0
          0,           0,         161,     -0.6294959502,       1.173074388,       2.196517101,        4.69691964,       2.646832618,       3.838368113,       340.2970288,                 0,                 0
          0,           0,         162,     -0.6765122519,       1.099727452,       1.948878131,       4.733723559,         2.6153892,       3.808995808,       340.2970288,                 0,                 0
          0,           0,         163,     -0.6201713599,       1.178755277,       2.204698598,       4.705869394,       2.643946171,       3.835018141,       340.2970288,                 0,                 0
          0,           0,         164,     -0.6790310845,       1.092911254,        1.94781289,       4.731346125,       2.612195734,       3.805266182,       340.2970288,                 0,                 0
          0,           0,         165,     -0.6198877649,       1.175500645,       2.204699111,       4.704971808,       2.643235128,        3.83376171,       340.2970288,                 0,                 0
          0,           0,         166,     -0.6783177261,       1.089329069,       1.950618817,       4.731947539,       2.615522948,       3.808062027,       340.2970288,                 0,                 0
          0,           0,         167,     -0.6144018304,       1.177241099,       2.209555265,       4.709764426,       2.639617794,       3.829775619,       340.2970288,                 0,                 0
          0,           0,         168,     -0.6806337678,       1.082749411,       1.949629819,       4.729669587,       2.611941443,       3.803741728,       340.2970288,                 0,                 0
          0,           0,         169,      -0.614052181,        1.17389684,       2.209718657,       4.709034314,       2.637239306,       3.827006315,       340.2970288,                 0,                 0
          0,           0,         170,     -0.6810310204,       1.078124285,       1.950834844,       4.729151344,       2.611964619,       3.803079326,       340.2970288,                 0,                 0
          0,           0,         171,     -0.6108310145,       1.173297134,       2.212560234,       4.711510342,       2.633168256,       3.822668828,       340.2970288,                 0,                 0
          0,           0,         172,     -0.6831596949,       1.071818178,       1.949790345,       4.726989203,       2.607845415,       3.798205827,       340.2970288,                 0,                 0
          0,           0,         173,     -0.6106941429,       1.170076309,       2.208472437,       4.710995431,       2.634848275,       3.824363321,       340.2970288,                 0,                 0
          0,           0,         174,     -0.6772478161,       1.073822221,       1.957859105,       4.732051977,       2.619122589,       3.808902033,       340.2970288,                 0,                 0
          0,           0,         175,     -0.5982834279,       1.180405791,       2.198866666,       4.724229299,       2.651466267,       3.842614182,       340.2970288,                 0,                 0
          0,           0,         176,     -0.6488264047,       1.099466467,       1.990142702,       4.756811543,       2.670510796,       3.859773547,       340.2970288,                 0,                 0
          0,           0,         177,     -0.5526317887,         1.2261129,       2.174509785,       4.770915978,       2.568974617,       3.771954496,       340.2970288,                 0,                 0
          0,           0,         178,     -0.7321663942,       1.015281929,       1.882112521,       4.678114624,       2.481131442,       3.666818199,       340.2970288,                 0,                 0
          0,           0,         179,      -0.697437882,       1.070702949,       2.136629979,       4.605501987,       2.611472307,       3.803273764,       340.2970288,                 0,                 0
          0,           0,         180,     -0.6882657024,       1.054063354,       1.936875558,       4.719447054,        2.57863629,       3.768923738,       340.2970288,                 0,                 0
          0,           0,         181,     -0.6247907014,        1.14241565,       2.171691991,       4.692610028,       2.631875525,       3.825728652,       340.2970288,                 0,                 0
          0,           0,         182,      -0.659729831,        1.07971016,       1.969367211,       4.744909903,       2.632805942,       3.823755037,       340.2970288,                 0,                 0
          0,           0,         183,     -0.5798629531,       1.187791367,       2.155339442,       4.740790965,       2.562817391,       3.766442612,       340.2970288,                 0,                 0
          0,           0,         184,     -0.7311895839,       1.007354081,       1.875451734,       4.677733847,       2.467024391,       3.655307069,       340.2970288,                 0,                 0
          0,           0,         185,     -0.7081060448,       1.048321684,       2.128328784,       4.594685468,       2.596091245,       3.789293306,       340.2970288,                 0,                 0
          0,           0,         186,     -0.7006620384,       1.032785212,       1.914687799,       4.707324991,       2.539382397,       3.731992724,       340.2970288,                 0,                 0
          0,           0,         187,     -0.6563374775,       1.097633393,       2.165599245,       4.658809927,       2.602355645,        3.79517067,       340.2970288,                 0,                 0
          0,           0,         188,     -0.6961119393,       1.033509085,       1.921397101,        4.71217089,        2.55168831,       3.745108985,       340.2970288,                 0,                 0
          0,           0,         189,     -0.6474688863,        1.10368474,       2.169399294,       4.670821327,       2.609601508,       3.801694938,       340.2970288,                 0,                 0
          0,           0,         190,       -0.68775617,       1.038390793,       1.932775029,       4.720114356,       2.571896544,       3.765541147,       340.2970288,                 0,                 0
          0,           0,         191,     -0.6314762653,       1.117949917,       2.168050457,       4.689568688,       2.624888354,       3.817534511,       340.2970288,                 0,                 0
          0,           0,         192,     -0.6657193412,       1.057717477,       1.959177846,       4.739765513,       2.617102113,       3.810413868,       340.2970288,                 0,                 0
          0,           0,         193,     -0.5940481067,       1.155999446,       2.154309921,       4.729114885,       2.581433748,       3.780779172,       340.2970288,                 0,                 0
          0,           0,         194,     -0.7077156285,       1.014429579,       1.903681337,       4.699259326,       2.520226692,       3.711800212,       340.2970288,                 0,                 0
          0,           0,         195,     -0.6686358261,       1.071640709,       2.147030776,       4.642699675,       2.595133669,        3.78820843,       340.2970288,                 0,                 0
          0,           0,         196,      -0.695657706,       1.023125303,       1.918959518,       4.711128633,       2.547659556,       3.740525595,       340.2970288,                 0,                 0
          0,           0,         197,     -0.6485623245,       1.090405509,       2.150302025,        4.66821517,       2.612072914,       3.805515417,       340.2970288,                 0,                 0
          0,           0,         198,      -0.673493288,       1.042680992,       1.945479992,       4.731330366,        2.59390605,       3.787157139,       340.2970288,                 0,                 0
          0,           0,         199,     -0.6117421414,       1.128226735,       2.141223277,       4.708792694,       2.575435589,       3.774612521,       340.2970288,                 0,                 0
